osm_type,osm_id,name,brand,address,city,state,country,latitude,longitude
node,9492898517,D1,D1,Carrera 53,,,CO,4.6491261,-74.0871189
node,9496678617,D1,D1,,,,CO,4.6694405,-74.0546973
node,9498663617,D1,D1,Avenida Carrera 15,,,CO,4.6595541,-74.0611749
node,9499411617,D1,D1,Calle 40B,,,CO,4.6277107,-74.0667157
node,9499411618,D1,D1,,,,CO,4.6005597,-74.0700398
node,9501137417,D1,D1,Avenida Carrera 14,,,CO,4.6360766,-74.067382
node,9501838317,D1,D1,Carrera 14,,,CO,4.6658285,-74.0566435
node,9503248117,D1,D1,Avenida Carrera 30,,,CO,4.6603353,-74.0778926
node,9505698818,D1,D1,Avenida Carrera 45,,,CO,4.691377,-74.0570831
node,9505699017,D1,D1,Avenida Carrera 45,,,CO,4.6952072,-74.0552377
node,9506341219,D1,D1,Avenida Carrera 20 87-51,,,CO,4.6758191,-74.0596081
node,9517952681,D1,D1,,,,CO,6.6487996,-75.4592104
node,9560891217,D1,D1,,,,CO,6.2399919,-75.5815817
node,9583258117,D1,D1,,,,CO,6.2502239,-75.5909078
node,9583401217,D1,D1,,,,CO,6.2437766,-75.6111811
node,9584075762,D1,,,,,CO,8.7427222,-75.8918617
node,9631661022,D1,D1,,,,CO,7.9257922,-72.5204885
node,9665917772,D1,D1,,,,CO,4.5420884,-75.6725047
node,9720690917,D1,,,,,CO,6.244965,-75.6083491
node,9738500018,D1,D1,,,,CO,6.2295932,-75.5730727
node,9842150229,D1,D1,Calle 19B 33-46,,,CO,4.6220729,-74.0899922
node,9862135417,D1,,,,,CO,6.0944494,-75.488171
node,9936382323,D1,,,,,CO,11.5322917,-72.9178354
node,9977255422,D1,,,,,CO,4.5265005,-75.6825054
node,10010386217,D1,D1,,,,CO,10.440923,-75.5275042
node,10059721125,D1,D1,,,,CO,6.1592165,-75.5996614
node,10059742817,D1,D1,Aurora Cll.64 #104-69 Medellin,Comuna 7 - Robledo,,CO,6.2809614,-75.6139593
node,10062198117,D1,,,,,CO,6.1715432,-75.6410194
node,10092392640,D1,D1,,,,CO,4.5140362,-75.6979996
node,10099535458,D1,D1,,,,CO,11.1908586,-74.2257552
node,10099923404,D1,D1,Cl. 6ª #26,,,CO,4.8204687,-73.1668367
node,10101244417,D1,D1,,,,CO,4.6237371,-74.1310066
node,10103605768,Tienda D1 Troncal,D1,,,,CO,11.1888434,-74.2162468
node,10131523819,D1,,Carrera 7,Pereira,,CO,4.8155891,-75.7030079
node,10134557996,D1,,,,,CO,3.4806258,-76.4976941
node,10166933848,D1,D1,Calle 42 74-18,,,CO,6.2484305,-75.5939784
node,10183953691,D1,,,,,CO,9.2605688,-74.7774159
node,10183960493,D1,,,,,CO,9.3162942,-75.2930336
node,10201778830,D1,,,,,CO,9.3228187,-75.2971587
node,10238104764,D1,,,,,CO,8.8828257,-75.7933484
node,10238198749,D1,D1,,,,CO,4.6775796,-74.051666
node,10253874712,D1,D1,,,,CO,4.6573304,-74.0575685
node,10268692228,,D1,,,,CO,4.6174482,-74.066197
node,10268739772,D1,D1,Cl. 6 Nte. #17,,,CO,7.9037359,-72.4967024
node,10289669637,D1,D1,Avenida Circunvalar,Pereira,,CO,4.8083753,-75.6794785
node,10289716094,D1,D1,Calle 15,Pereira,,CO,4.8095825,-75.6912587
node,10316689060,D1,,,,,CO,6.092999,-75.6367423
node,10555185310,D1,,Carrera 13,Pereira,,CO,4.8122959,-75.7077484
node,10555435562,D1,,,,,CO,6.1501026,-75.5310309
node,10555492830,D1,,,,,CO,6.1519024,-75.3682742
node,10590325805,D1,,,,,CO,6.029959,-75.4310996
node,10595337105,D1,D1,,,,CO,4.6134286,-74.0685639
node,10605296406,D1,,,,,CO,4.645596,-74.0637134
node,10620977536,D1,,,,,CO,6.2643081,-75.5579404
node,10687164725,D1,,,,,CO,4.7179455,-74.0327159
node,10697757909,D1,,,,,CO,1.227006,-77.2871113
node,10713210660,D1,D1,,,,CO,4.6762861,-74.0468987
node,10713427008,D1,,,,,CO,4.6402755,-74.0647685
node,10790576341,D1,D1,,,,CO,5.1976332,-74.8967162
node,10797319721,D1,D1,,,,CO,4.5277203,-75.7146285
node,10806584938,D1,D1,,,,CO,4.7251491,-74.1338874
node,10827458984,D1,D1,,,,CO,3.3851138,-76.5239512
node,10872573905,D1,,,,,CO,5.0680541,-74.5987907
node,10920451305,D1,,,,,CO,5.0492517,-75.4802532
node,10920710706,D1,,,,,CO,5.0553842,-75.4873259
node,10935378205,D1,,,,,CO,5.0530725,-75.4891461
node,10944499228,D1,D1,Carrera 15,Bostón,,CO,4.8080202,-75.6966317
node,10945029478,D1,D1,,,,CO,4.707236,-74.2313854
node,10968485805,D1,,,,,CO,4.4137588,-76.1527703
node,10978021305,D1,,,,,CO,5.4200101,-75.703547
node,10979945950,D1,D1,,,,CO,8.9940269,-73.9712139
node,10981473436,D1,,,,,CO,4.9641851,-73.9157286
node,10981483907,D1,,,,,CO,3.4507838,-76.5424734
node,11008621406,D1,,,,,CO,6.2419042,-75.598967
node,11009023505,D1,,,,,CO,6.2513992,-75.5703259
node,11012987605,D1,,,,,CO,6.2361443,-75.6020796
node,11018928801,D1,D1,,,,CO,4.5609732,-75.6526858
