Project Name,City,State,Event / Note (optional),Polygon Exact Name,Timeframe Start,Timeframe End,Time Repitition Frame,Specific Day,OverNight Timelap,TimeZone,UTC Time,Start Time (empty= All Day),End Time (empty= All Day)
Dr Simi - Houston,Houston,Texas,,WTS MEGA Comunidad Hispana Pecan Park Houston IV,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,Supermercado Hispano East End La Michoacana,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,CVS East End Houston Farmacia,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Salón de Eventos East End,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,*Salón de Eventos East End Houston II,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Salón de Eventos East End Houston III,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,*Inmensa Cantina Popular Mexicana East End Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,*WTS MEGA MEGA MEGA Barrio Popular Hispano Cloverleaf Houston II,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,WTS Mega Comunidad Hispana Cimarron Houston II,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,Channelview Houston Ministerio de Educación,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,WTS Zona Pobre Channelview Houston I,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,San Jacinto College Houston Fine Arts Center,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,San Jacinto College Houston North Campus,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,WTS Zona Pobre Channelview III,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,Otra Quinceañera Expo Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,*Salones de Eventos Zona Pobre Pasadena Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,*WTS Zona Pobre Hispana South Houston,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,Salón de Eventos Pasadena Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Mi Tienda South Houston/Pasadena,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Fiesta Mart #201 South Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,*Salón de Eventos South Houston II,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Fiesta Mart #31 Supermercado South Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Family Dollar South Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,WTS Mini Zona Pobre Pasadena Houston,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,*Canchas de Fut Pequeña Guate Gulfton Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Plaza Pequeña Guate Gulfton Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Estacionamiento Mercado de Pulgas Hispano North Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Fiesta Mart #41 Aldine Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Fiesta Mart #49 Northside Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Placita Hispana Bellaire Houston I,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,Fútbol Aldine Houston (Tentativa),4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,WTS Zonita Pobre Aldine Houston I,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,WTS Zonita Pobre Aldine Houston II,4/1/2025,7/31/2025,Specific,"Mondays, Tuesdays, Wednesdays, Thursdays",,America/Chicago,UTC−5,0:00:00,4:30:00
Dr Simi - Houston,Houston,Texas,,Michoacana Meat Market Aldine Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
Dr Simi - Houston,Houston,Texas,,*Todo A Dólar Aldine Houston,4/1/2025,7/31/2025,Daily,,,America/Chicago,UTC−5,,
