osm_id,osm_type,name,brand,operator,addr_full,addr_street,addr_housenumber,addr_city,addr_state,addr_postcode,opening_hours,phone,website,lat,lon,source,street_address,city,page_url
6219074925,node,Tienda D1,,,,,,Santa Rosa de Cabal,,,,,,4.870394,-75.6284012,osm,,,
6321075586,node,D1,D1,,,Diagonal 25,36,,,,,,,4.3308515,-74.3790229,osm,,,
6327359287,node,D1,D1,,,,,,,,,,,6.2749466,-75.582912,osm,,,
6327383889,node,D1,D1,,,,,,,,,,,6.2748481,-75.5830094,osm,,,
6328222876,node,D1,D1,,,Carrera 13A,33-58,,,,,,https://d1.com.co/,4.6209444,-74.0681897,osm,,,
6336857560,node,D1,,D1,,,,,,,,,,4.5710585,-74.2372554,osm,,,
6347941985,node,D1,,,,,,,,,,,,5.6301566,-73.5265977,osm,,,
6366327952,node,D1,,,,Calle 1,,Cali,,,Mo-Su 09:00-21:00,,,3.4249406,-76.5524776,osm,,,
6368080891,node,D1,,,,,,,,,,,,6.5602856,-73.1397104,osm,,,
6374956514,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7003204,-74.0813066,osm,,,
6460216755,node,D1,D1,D1,,Calle 53C Sur,43-74,Sabaneta Antioquia,,,,,,6.157919,-75.6040195,osm,,,
6535705788,node,Tiendas D1,,,,,,,,,,,,6.294635,-75.0268708,osm,,,
6577551185,node,Tiendas D1,,,,,,,,,,,,5.4629519,-74.6554059,osm,,,
6594492785,node,Tiendas D1,,,,,,,,,,,,8.4250321,-76.7825721,osm,,,
6601601085,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6079301,-74.0711052,osm,,,
6637941015,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.592467,-74.1022284,osm,,,
6638968285,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6670908,-74.1211439,osm,,,
6680880485,node,Tiendas D1,,,,,,,,,,,,7.8810214,-72.4879473,osm,,,
6681267687,node,D1,,,,,,,,,,,,5.0342478,-73.9924726,osm,,,
6709037085,node,D1,D1,,,,,Calima,,,,,,3.4840984,-76.4970875,osm,,,
6718988628,node,D1,D1,,,2E 76,Carrera 11,Pereira,,660001,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8092005,-75.6775644,osm,,,
6718996627,node,D1,D1,,,,,,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8077917,-75.7251133,osm,,,
6718996628,node,D1,D1,,,5 22,Calle 63,Pereira - Risaralda - Colombia,,660000,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8049455,-75.6978124,osm,,,
6718996990,node,D1,D1,,,Calle 14,,Pereira,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8025841,-75.6915334,osm,,,
6718999403,node,D1,D1,,,,,,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8132979,-75.6903948,osm,,,
6719000270,node,D1,D1,,,Carrera 9,,Pereira,,660002,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8133914,-75.6988826,osm,,,
6719000966,node,D1,D1,,,,,,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8107507,-75.6938964,osm,,,
6719002783,node,D1,D1,,,5 22,Calle 63,,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8041846,-75.7410513,osm,,,
6719003046,node,D1,,,,5 22,Calle 63,,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.7864255,-75.7251656,osm,,,
6719003155,node,D1,D1,,,,,,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8036271,-75.7380239,osm,,,
6719003250,node,D1,,,,,,,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8106478,-75.7523216,osm,,,
6719007753,node,D1,,,,5 22,Calle 63,,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8216364,-75.7301818,osm,,,
6719008287,node,D1,,,,5 22,Calle 63,,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.7925677,-75.7107917,osm,,,
6719008490,node,D1,,,,5 22,Calle 63,,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8061723,-75.805255,osm,,,
6719008654,node,D1,D1,,,Carrera 13,,Pereira,,660002,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8122003,-75.7067591,osm,,,
6719008655,node,D1,D1,,,5 22,Calle 63,El Poblado,,660004,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8006676,-75.7087387,osm,,,
6719016822,node,D1,D1,,,5 22,Calle 63,,,,,,,4.8090281,-75.6803083,osm,,,
6719023573,node,D1,,,,5 22,Calle 63,,,,Mo-Su 08:00-21:00,,http://tiendasd1.com,4.8154254,-75.7126209,osm,,,
6727664964,node,D1,D1,,,,,,,,,,,6.2131903,-75.5708037,osm,,,
6759866186,node,D1,D1,,,,,,,,,,,6.213216,-75.5707037,osm,,,
6824072551,node,Tiendas D1,,,,Carrera 7,,Barbosa,,,,,,5.9284337,-73.6180526,osm,,,
6932976230,node,D1,D1,,,,,,,,,,,7.1241761,-73.1185298,osm,,,
6970233297,node,D1,D1,,,Carrera 36,10B-100,,,,,,,6.2114008,-75.5649448,osm,,,
6987504094,node,Tiendas D1,,,,,,,,,,,,7.2451718,-76.4378539,osm,,,
6987832285,node,D1,,,,,,,,,,,,11.2222102,-74.2065358,osm,,,
6988596985,node,D1,,,,,,,,,,,,11.2360871,-74.1921128,osm,,,
6988602985,node,D1,D1,,,,,,,,,,,11.2374392,-74.1888002,osm,,,
7008558585,node,D1,D1,,,,,,,,,,,10.4308106,-75.5326121,osm,,,
7048148740,node,D1,D1,,,,,,,,,,,4.2860017,-74.7751683,osm,,,
7053089941,node,Tiendas D1,,,,,,,,,,,,6.0319804,-75.4362035,osm,,,
7064962152,node,D1,D1,,,,,,,,,,,4.5225268,-75.6477699,osm,,,
7072770585,node,Tiendas D1,,,,Carrera 65D,32C-31,,,,Mo-Su 07:00-21:00; PH 08:00-21:00,,,6.2372195,-75.5853479,osm,,,
7099223689,node,D1,D1,,,,,,,,,,,4.6317051,-74.4641364,osm,,,
7157647318,node,D1,D1,,,,,,,,,,,4.5007496,-75.7205105,osm,,,
7194386805,node,D1,D1,,,Calle 60 Sur,,Sabaneta Antioquia,,,Mo-Su 07:00-21:00; PH 08:00-21:00,,,6.1546807,-75.6067343,osm,,,
7201937985,node,Tiendas D1,,,,Carrera 69,30A-73,,,,,,,6.233393,-75.5894727,osm,,,
7202393192,node,D1,,,,,,,,,,,,4.6234413,-74.4708816,osm,,,
7240989333,node,D1,D1,,,,,,,,,,,7.1343293,-73.1176337,osm,,,
