Fetching index: https://www.sucursales24.com.co/tiendas-d1/todos/
Found 210 city pages
[186/210] https://www.sucursales24.com.co/tame/tiendas-d1/ -> 0 stores
[187/210] https://www.sucursales24.com.co/tenjo/tiendas-d1/ -> 0 stores
[188/210] https://www.sucursales24.com.co/timbio/tiendas-d1/ -> 0 stores
[189/210] https://www.sucursales24.com.co/tocancipa/tiendas-d1/ -> 2 stores
[190/210] https://www.sucursales24.com.co/tulua/tiendas-d1/ -> 5 stores
[191/210] https://www.sucursales24.com.co/tunja/tiendas-d1/ -> 13 stores
[192/210] https://www.sucursales24.com.co/turbaco/tiendas-d1/ -> 0 stores
[193/210] https://www.sucursales24.com.co/turbo/tiendas-d1/ -> 7 stores
[194/210] https://www.sucursales24.com.co/valle-de-san-juan/tiendas-d1/ -> 0 stores
[195/210] https://www.sucursales24.com.co/valledupar/tiendas-d1/ -> 6 stores
[196/210] https://www.sucursales24.com.co/venecia-antioquia/tiendas-d1/ -> 0 stores
[197/210] https://www.sucursales24.com.co/viani/tiendas-d1/ -> 0 stores
[198/210] https://www.sucursales24.com.co/villa-de-leyva/tiendas-d1/ -> 0 stores
[199/210] https://www.sucursales24.com.co/villa-del-rosario/tiendas-d1/ -> 0 stores
[200/210] https://www.sucursales24.com.co/villamaria/tiendas-d1/ -> 2 stores
[201/210] https://www.sucursales24.com.co/villapinzon/tiendas-d1/ -> 0 stores
[202/210] https://www.sucursales24.com.co/villavicencio/tiendas-d1/ -> 8 stores
[203/210] https://www.sucursales24.com.co/villeta/tiendas-d1/ -> 0 stores
[204/210] https://www.sucursales24.com.co/viterbo/tiendas-d1/ -> 0 stores
[205/210] https://www.sucursales24.com.co/yarumal/tiendas-d1/ -> 2 stores
[206/210] https://www.sucursales24.com.co/yopal/tiendas-d1/ -> 3 stores
[207/210] https://www.sucursales24.com.co/yumbo/tiendas-d1/ -> 3 stores
[208/210] https://www.sucursales24.com.co/zapatoca/tiendas-d1/ -> 0 stores
[209/210] https://www.sucursales24.com.co/zipacon/tiendas-d1/ -> 0 stores
[210/210] https://www.sucursales24.com.co/zipaquira/tiendas-d1/ -> 8 stores
Wrote 589 S24 rows to /workspace/d1_scraper/output
